conv1_1/Conv2D:0 | (32, 224, 224, 64) | (32, 224, 224, 3) | (3, 3, 3, 64) | (1, 1)
conv1_2/Conv2D:0 | (32, 224, 224, 64) | (32, 224, 224, 64) | (3, 3, 64, 64) | (1, 1)
conv2_1/Conv2D:0 | (32, 112, 112, 128) | (32, 112, 112, 64) | (3, 3, 64, 128) | (1, 1)
conv2_2/Conv2D:0 | (32, 112, 112, 128) | (32, 112, 112, 128) | (3, 3, 128, 128) | (1, 1)
conv3_1/Conv2D:0 | (32, 56, 56, 256) | (32, 56, 56, 128) | (3, 3, 128, 256) | (1, 1)
conv3_2/Conv2D:0 | (32, 56, 56, 256) | (32, 56, 56, 256) | (3, 3, 256, 256) | (1, 1)
conv3_3/Conv2D:0 | (32, 56, 56, 256) | (32, 56, 56, 256) | (3, 3, 256, 256) | (1, 1)
conv4_1/Conv2D:0 | (32, 28, 28, 512) | (32, 28, 28, 256) | (3, 3, 256, 512) | (1, 1)
conv4_2/Conv2D:0 | (32, 28, 28, 512) | (32, 28, 28, 512) | (3, 3, 512, 512) | (1, 1)
conv4_3/Conv2D:0 | (32, 28, 28, 512) | (32, 28, 28, 512) | (3, 3, 512, 512) | (1, 1)
conv5_1/Conv2D:0 | (32, 14, 14, 512) | (32, 14, 14, 512) | (3, 3, 512, 512) | (1, 1)
conv5_2/Conv2D:0 | (32, 14, 14, 512) | (32, 14, 14, 512) | (3, 3, 512, 512) | (1, 1)
conv5_3/Conv2D:0 | (32, 14, 14, 512) | (32, 14, 14, 512) | (3, 3, 512, 512) | (1, 1)
